'_Artikel_nr'|'qualitaet_nr'|'bezeichnung'|'hinweis'|'sprache'
'S14-RW-037'|'8'|||'de'
'S14-RW-037'|'8'|'55% CU 45% CV'||'en'
'S14-RW-039'|'65'|||'de'
'S14-RW-039'|'65'|'74% RAY 24% CV 2% EL'||'en'
'S14-RW-045'|'66'|||'de'
'S14-RW-045'|'66'|'63%PES 27%CV 7%CO 3%EL'||'en'
'S14-RW-051'|'65'|||'de'
'S14-RW-051'|'65'|'74% RAY 24% CV 2% EL'||'en'
'S14-RW-052'|'8'|||'de'
'S14-RW-052'|'8'|'55% CU 45% CV'||'en'
'S14-RW-058'|'2'|||'de'
'S14-RW-058'|'2'|'100% CO'||'en'
'S14-RW-060'|'2'|||'de'
'S14-RW-060'|'2'|'100% CO'||'en'
'S14-RW-061'|'7'|||'de'
'S14-RW-061'|'7'|'95% CV 5% EL'||'en'
'S14-RW-063'|'7'|||'de'
'S14-RW-063'|'7'|'95% CV 5% EL'||'en'
'S14-RW-071'|'1'|||'de'
'S14-RW-071'|'1'|'100% SE'||'en'
'S14-RW-072'|'1'|||'de'
'S14-RW-072'|'1'|'100% SE'||'en'
'S14-RW-073'|'1'|||'de'
'S14-RW-073'|'1'|'100% SE'||'en'
'S14-RW-074'|'1'|||'de'
'S14-RW-074'|'1'|'100% SE'||'en'
'S14-RW-080'|'8'|||'de'
'S14-RW-080'|'8'|'55% CU 45% CV'||'en'
'S154-RW-064'|'7'|||'de'
'S154-RW-064'|'7'|'95% CV 5% EL'||'en'
'ST0001'|'9'|||'de'
'ST0001'|'9'|'72% PES 28% CO'||'en'
'ST0002'|'1'|||'de'
'ST0002'|'1'|'100% SE'||'en'
'ST0003'|'1'|||'de'
'ST0003'|'1'|'100% SE'||'en'
'ST0004'|'1'|||'de'
'ST0004'|'1'|'100% SE'||'en'
'ST0005'|'1'|||'de'
'ST0005'|'1'|'100% SE'||'en'
'ST0006'|'8'|||'de'
'ST0006'|'8'|'55% CU 45% CV'||'en'
'ST0007'|'65'|||'de'
'ST0007'|'65'|'74% RAY 24% CV 2% EL'||'en'
'ST0008'|'68'|||'de'
'ST0008'|'68'|'77% PES 8% CO 15% PU'||'en'
'ST0009'|'69'|||'de'
'ST0009'|'69'|'46% PC 28% CO 15% PL 9% WO 2% OF'||'en'
'ST0010'|'70'|||'de'
'ST0010'|'70'|'70% WO 20% PES 10% PA'||'en'
'ST0011'|'71'|||'de'
'ST0011'|'71'|'77% CV 14% PA 9% EL'||'en'
'ST0012'|'46'|||'de'
'ST0012'|'46'|'100% WV'|'Virgin Wool Merino'|'en'
'ST0013'|'46'|||'de'
'ST0013'|'46'|'100% WV'|'Virgin Wool Merino'|'en'
'W13-AC-002'|'11'|||'de'
'W13-AC-002'|'11'|'40%WP25%WO14%PES13%CA8%PA'||'en'
'W13-AC-018'|'12'|||'de'
'W13-AC-018'|'12'|'92%WO 8% WP'||'en'
'W13-AC-020'|'13'|||'de'
'W13-AC-020'|'13'|'80% WP 20% PA'||'en'
'W13-AC-033'|'33'|||'de'
'W13-AC-033'|'33'|'58%WO21%PA13%CV9%WA'||'en'
'W13-AC-034'|'33'|||'de'
'W13-AC-034'|'33'|'58%WO21%PA13%CV9%WA'||'en'
'W13-AC-035'|'33'|||'de'
'W13-AC-035'|'33'|'58%WO21%PA13%CV9%WA'||'en'
'W13-AC-050'|'34'|||'de'
'W13-AC-050'|'34'|'90%WA10%PA'||'en'
'W13-AC-051'|'15'|||'de'
'W13-AC-051'|'15'|'44%WO23%WP20%CA7%CV6%WM'||'en'
'W13-AC-052'|'16'|||'de'
'W13-AC-052'|'16'|'30%WO27%PA23%WM13%CV7%WS'||'en'
'W13-AC-053'|'16'|||'de'
'W13-AC-053'|'16'|'30%WO27%PA23%WM13%CV7%WS'||'en'
'W13-AC-104'|'14'|||'de'
'W13-AC-104'|'14'|'90% CMD 10% WS'||'en'
'W13-AC-105'|'14'|||'de'
'W13-AC-105'|'14'|'90% CMD 10% WS'||'en'
'W13-AC-106'|'14'|||'de'
'W13-AC-106'|'14'|'90% CMD 10% WS'||'en'
'W13-AC-107'|'14'|||'de'
'W13-AC-107'|'14'|'90% CMD 10% WS'||'en'
'W13-AC-110'|'14'|||'de'
'W13-AC-110'|'14'|'90% CMD 10% WS'||'en'
'W13-AC-111'|'14'|||'de'
'W13-AC-111'|'14'|'90% CMD 10% WS'||'en'
'W13-AC-112'|'14'|||'de'
'W13-AC-112'|'14'|'90% CMD 10% WS'||'en'
'W13-AC-114'|'14'|||'de'
'W13-AC-114'|'14'|'90% CMD 10% WS'||'en'
'W13-AC-115'|'14'|||'de'
'W13-AC-115'|'14'|'90% CMD 10% WS'||'en'
'W13-AC-126'|'5'|||'de'
'W13-AC-126'|'5'|'100% WS'||'en'
'W13-AC-127'|'5'|||'de'
'W13-AC-127'|'5'|'100% WS'||'en'
'W13-AC-128'|'5'|||'de'
'W13-AC-128'|'5'|'100% WS'||'en'
'W13-AC-129'|'5'|||'de'
'W13-AC-129'|'5'|'100% WS'||'en'
'W13-AC-131'|'5'|||'de'
'W13-AC-131'|'5'|'100% WS'||'en'
'W13-AC-200'|'40'|||'de'
'W13-AC-200'|'40'|'100% LE'||'en'
'W13-AC-205'|'40'|||'de'
'W13-AC-205'|'40'|'100% LE'||'en'
'W13-AC-207'|'40'|||'de'
'W13-AC-207'|'40'|'100% LE'||'en'
'W13-AT-002'|'19'|||'de'
'W13-AT-002'|'19'|'50% WM 30% PA 20% WO'||'en'
'W13-KW-002'|'6'|||'de'
'W13-KW-002'|'6'|'100% Merino Wool extra fine'||'en'
'W13-KW-005'|'6'|||'de'
'W13-KW-005'|'6'|'100% Merino Wool extra fine'||'en'
'W13-KW-006'|'6'|||'de'
'W13-KW-006'|'6'|'100% Merino Wool extra fine'||'en'
'W13-KW-007'|'6'|||'de'
'W13-KW-007'|'6'|'100% Merino Wool extra fine'||'en'
'W13-KW-008'|'21'|||'de'
'W13-KW-008'|'21'|'65% RY 35% NY'||'en'
'W13-KW-013'|'18'|||'de'
'W13-KW-013'|'18'|'70% WO 30% WS'||'en'
'W13-KW-024'|'20'|||'de'
'W13-KW-024'|'20'|'42%WO20%CV20%PA10%WM8%WS'||'en'
'W13-KW-025'|'19'|||'de'
'W13-KW-025'|'19'|'50% WM 30% PA 20% WO'||'en'
'W13-KW-032'|'10'|||'de'
'W13-KW-032'|'10'|'57% WO 17%CV 17%PA 9% WS'||'en'
'W13-KW-033'|'32'|||'de'
'W13-KW-033'|'32'|'10%WS 40%WO 25%CV 25%PA+ 70%WM 30%PA + 50%WM 30%PA 20%WO'||'en'
'W13-KW-034'|'36'|||'de'
'W13-KW-034'|'36'|'10%WS 40%WO 25%VI 25%PA + 66%WM 4%WO 30%Pa'||'en'
'W13-KW-040'|'34'|||'de'
'W13-KW-040'|'34'|'90%WA10%PA'||'en'
'W13-KW-041'|'21'|||'de'
'W13-KW-041'|'21'|'65% RY 35% NY'||'en'
'W13-KW-042'|'37'|||'de'
'W13-KW-042'|'37'|'10%WS 40%WO 25%VI 25%PA + 66%WM 4%WO 30%PA + 78%CA 12%PES 10% PA'||'en'
'W13-KW-046'|'38'|||'de'
